     60 212.122.173.146     Великотърновски университет
      2 212.122.164.204     Кондофрей
      2 212.122.164.204     Казанлък
      2 212.122.164.204     Идиом
      2 212.122.164.204     Елешница (Област Благоевград)
      2 212.122.164.204     Джинджифил
      2 212.122.164.204     Галапагоски острови
      2 212.122.164.204     Асклепий
      2 212.122.164.204     9 август
      2 212.122.164.200     38 ОУ „Васил Априлов“, София
      2 212.122.164.1       Войнежа
      2 212.122.164.196     Свищов
      2 212.122.164.172     Попово прасе
      2 212.122.164.162     Обединение
      2 212.122.164.162     Марк Нопфлър
      2 212.122.164.161     Стилиян Чилингиров
      2 212.122.164.160     Майкъл Конъли
      2 212.122.164.11      България
      2 212.122.164.11      UniBG
      2 212.122.163.3       Долно Езерово
      2 212.122.161.95      Райна Манджукова
      2 212.122.161.93      Майорка
      2 212.122.161.85      Музей на киселото мляко
      2 212.122.161.73      Дипломатически мисии в България
      2 212.122.161.73      DVD
      2 212.122.161.65      Беседа:Горани
      2 212.122.161.55      Каменец (Област Плевен)
      2 212.122.161.49      Мезе
      2 212.122.161.49      Алф
      2 212.122.161.33      Двурезцови торбести
      2 212.122.161.247     Ту-4
      2 212.122.161.247     Кърпачево
      2 212.122.161.247     Ерих Хартман
      2 212.122.161.247     Велика северна война
      2 212.122.161.244     Калугерово (Софийска област)
      2 212.122.161.242     Долна Диканя
      2 212.122.161.227     Георги Робев
      2 212.122.161.217     Уикипедия:Пясъчник
      2 212.122.161.217     Генади Симеонов
      2 212.122.161.209     Георги Марков (писател)
      2 212.122.161.207     Марко Недялков
      2 212.122.161.204     Занаят
      2 212.122.161.204     Бельово
      2 212.122.161.202     Радомир
      2 212.122.161.194     Магистър
      2 212.122.161.194     Инструмент за структурна политика за предприсъединяване
      2 212.122.161.194     Вътрешен одит
      2 212.122.161.194     Византийска империя
      2 212.122.161.161     Сладка папрат
      2 212.122.161.161     Папрат (село)
      2 212.122.161.161     Папрат
      2 212.122.161.161     Бор
      2 212.122.161.154     Антония Петрова
      2 212.122.161.145     ФК Хасково 2009
      2 212.122.161.145     Уикипедия:Страници за изтриване
      2 212.122.161.145     Тодор Диев
      2 212.122.161.145     ПФК Ботев (Пловдив)
      2 212.122.161.145     Марица (пояснение)
      2 212.122.161.145     Купата на България
      2 212.122.161.145     Купа на България по футбол
      2 212.122.161.145     Колежа
      2 212.122.161.118     Васил Долапчиев
      2 212.122.161.108     Радуй
      2 212.122.161.108     Плана (село)
      2 212.122.161.103     Христо Йовов
      2 212.122.161.102     Христо Йовов
      2 212.122.161.102     Тибет
      2 195.110.24.251      Хасково
      2 195.110.24.251      Операция Швайнфурт-Регенсбург
      2 195.110.24.251      Община Цар Калоян
      2 195.110.24.251      Марулево
      2 195.110.24.251      Задруга (село)
      2 195.110.24.251      Дълбок извор
      2 195.110.24.251      „А“ футболна група
      2 195.110.24.240      Исперих
      2 195.110.24.238      Ваклиново
      2 195.110.24.236      Свобода Бъчварова
      2 195.110.24.236      Плеоназъм
      2 195.110.24.236      Емил Варадинов
      2 195.110.24.231      Национална търговско-банкова гимназия
      2 195.110.24.231      Национален стадион „Васил Левски“
      2 193.25.162.9        Горнослав
      2 193.25.162.9        Горнослав
